Employee,OrganizationalUnit,OrganizationalUnitDescription,Position,PositionDescription,EmployeeSubGroupDescription,Date,DayOfWeek,PT63DailyWorkSchedule,PT63DailyWorkScheduleDescription,StartTime,EndTime,PT63DailyWorkingHrs,DefaultCounterColumn,MaterializedViewLatestUpdateDate,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,28/05/2021 00:00,Friday,DDCI,DOM WKDAY CI,070000,160000,8.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,29/05/2021 00:00,Saturday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,30/05/2021 00:00,Sunday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,31/05/2021 00:00,Monday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,01/06/2021 00:00,Tuesday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,02/06/2021 00:00,Wednesday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,03/06/2021 00:00,Thursday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,04/06/2021 00:00,Friday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,05/06/2021 00:00,Saturday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,06/06/2021 00:00,Sunday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,07/06/2021 00:00,Monday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,08/06/2021 00:00,Tuesday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,09/06/2021 00:00,Wednesday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,10/06/2021 00:00,Thursday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,11/06/2021 00:00,Friday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,12/06/2021 00:00,Saturday,DKCI,DOM WKEND CI,070000,160000,8.5,1,28/10/2022 05:30,,,,
